person, block, runNumber, visualise, trialNumber, targetPresent, responseTime, response
2, coloured, 25, yes, 3, 0, 0.615438, -1
2, coloured, 25, yes, 4, 1, 0.818204, 1
2, coloured, 25, yes, 5, 0, 0.748395, -1
2, coloured, 26, no, 1, 0, 0.476440, -1
2, coloured, 26, no, 2, 1, 0.514392, 1
2, coloured, 26, no, 3, 1, 0.526396, 1
2, coloured, 26, no, 4, 1, 0.444415, 1
2, coloured, 26, no, 5, 0, 0.412578, -1
2, coloured, 27, no, 1, 1, 0.555317, 1
2, coloured, 27, no, 2, 1, 0.452827, 1
2, coloured, 27, no, 3, 0, 0.399727, -1
2, coloured, 27, no, 4, 1, 0.540317, 1
2, coloured, 27, no, 5, 0, 0.449644, -1
2, coloured, 28, yes, 1, 0, NaN, NaN
2, coloured, 28, yes, 2, 1, NaN, NaN
2, coloured, 28, yes, 3, 1, 0.477223, 1
2, coloured, 28, yes, 4, 0, 0.383936, -1
2, coloured, 29, yes, 1, 1, NaN, NaN
2, coloured, 29, yes, 2, 0, NaN, NaN
2, coloured, 29, yes, 3, 0, 0.813052, -1
2, coloured, 30, yes, 1, 1, NaN, NaN
2, coloured, 30, yes, 2, 0, NaN, NaN
2, coloured, 30, yes, 3, 1, 0.471742, 1
2, coloured, 30, yes, 4, 1, 0.333738, 1
3, coloured, 1, yes, 1, 1, NaN, NaN
3, coloured, 1, yes, 2, 1, NaN, NaN
3, coloured, 1, yes, 3, 1, 1.446236, 1
3, coloured, 1, yes, 4, 1, 0.631088, 1
3, coloured, 1, yes, 5, 0, 0.680879, -1
3, coloured, 2, yes, 1, 1, NaN, NaN
3, coloured, 2, yes, 2, 0, NaN, NaN
3, coloured, 2, yes, 3, 0, 1.222675, -1
3, coloured, 3, no, 1, 0, 0.863689, -1
3, coloured, 3, no, 2, 1, 0.711431, 1
3, coloured, 3, no, 3, 1, 0.805396, 1
3, coloured, 4, yes, 1, 0, NaN, NaN
3, coloured, 4, yes, 2, 0, NaN, NaN
3, coloured, 4, yes, 3, 0, 1.476099, -1
3, coloured, 4, yes, 4, 0, 0.553195, -1
3, coloured, 5, no, 1, 1, 0.711695, 1
3, coloured, 5, no, 2, 0, 0.595689, -1
